degrees,longitude,latitude,elevation_m
0,-118.7919102,39.47486838,1215
0.000278024,-118.7916322,39.47486927,1214
0.000556048,-118.7913542,39.47487017,1214
0.000834072,-118.7910762,39.47487107,1214
0.001112097,-118.7907981,39.47487196,1214
0.001390121,-118.7905201,39.47487286,1214
0.001668145,-118.7902421,39.47487375,1214
0.001946169,-118.7899641,39.47487465,1213
0.002224193,-118.7896861,39.47487555,1211
0.002502217,-118.789408,39.47487644,1209
0.002780241,-118.78913,39.47487734,1209
0.003058266,-118.788852,39.47487823,1211
0.00333629,-118.788574,39.47487913,1215
0.003614314,-118.7882959,39.47488002,1219
0.003892338,-118.7880179,39.47488092,1220
0.004170362,-118.7877399,39.47488182,1220
0.004448386,-118.7874619,39.47488271,1217
0.00472641,-118.7871839,39.47488361,1216
0.005004434,-118.7869058,39.4748845,1216
0.005282459,-118.7866278,39.4748854,1217
0.005560483,-118.7863498,39.4748863,1216
0.005838507,-118.7860718,39.47488719,1215
0.006116531,-118.7857937,39.47488809,1214
0.006394555,-118.7855157,39.47488898,1213
0.006672579,-118.7852377,39.47488988,1212
0.006950603,-118.7849597,39.47489077,1212
0.007228628,-118.7846816,39.47489167,1212
0.007506652,-118.7844036,39.47489257,1213
0.007784676,-118.7841256,39.47489346,1214
0.0080627,-118.7838476,39.47489436,1215
0.008340724,-118.7835696,39.47489525,1214
0.008618748,-118.7832915,39.47489615,1214
0.008896772,-118.7830135,39.47489705,1213
0.009174797,-118.7827355,39.47489794,1212
0.009452821,-118.7824575,39.47489884,1212
0.009730845,-118.7821794,39.47489973,1213
0.010008869,-118.7819014,39.47490063,1214
0.010286893,-118.7816234,39.47490152,1213
0.010564917,-118.7813454,39.47490242,1212
0.010842941,-118.7810674,39.47490332,1212
0.011120966,-118.7807893,39.47490421,1213
0.01139899,-118.7805113,39.47490511,1214
0.011677014,-118.7802333,39.474906,1214
0.011955038,-118.7799553,39.4749069,1214
0.012233062,-118.7796772,39.4749078,1213
0.012511086,-118.7793992,39.47490869,1212
0.01278911,-118.7791212,39.47490959,1211
0.013067134,-118.7788432,39.47491048,1212
0.013345159,-118.7785651,39.47491138,1214
0.013623183,-118.7782871,39.47491228,1216
0.013901207,-118.7780091,39.47491317,1218
0.014179231,-118.7777311,39.47491407,1218
0.014457255,-118.7774531,39.47491496,1219
0.014735279,-118.777175,39.47491586,1215
0.015013303,-118.776897,39.47491675,1213
0.015291328,-118.776619,39.47491765,1213
0.015569352,-118.776341,39.47491855,1213
0.015847376,-118.7760629,39.47491944,1212
0.0161254,-118.7757849,39.47492034,1211
0.016403424,-118.7755069,39.47492123,1211
0.016681448,-118.7752289,39.47492213,1210
0.016959472,-118.7749509,39.47492303,1211
0.017237497,-118.7746728,39.47492392,1211
0.017515521,-118.7743948,39.47492482,1211
0.017793545,-118.7741168,39.47492571,1211
0.018071569,-118.7738388,39.47492661,1212
0.018349593,-118.7735607,39.4749275,1211
0.018627617,-118.7732827,39.4749284,1212
0.018905641,-118.7730047,39.4749293,1213
0.019183666,-118.7727267,39.47493019,1212
0.01946169,-118.7724486,39.47493109,1211
0.019739714,-118.7721706,39.47493198,1211
0.020017738,-118.7718926,39.47493288,1211
0.020295762,-118.7716146,39.47493378,1210
0.020573786,-118.7713366,39.47493467,1211
0.02085181,-118.7710585,39.47493557,1213
0.021129835,-118.7707805,39.47493646,1214
0.021407859,-118.7705025,39.47493736,1215
0.021685883,-118.7702245,39.47493825,1215
0.021963907,-118.7699464,39.47493915,1213
0.022241931,-118.7696684,39.47494005,1212
0.022519955,-118.7693904,39.47494094,1211
0.022797979,-118.7691124,39.47494184,1210
0.023076003,-118.7688344,39.47494273,1210
0.023354028,-118.7685563,39.47494363,1211
0.023632052,-118.7682783,39.47494453,1212
0.023910076,-118.7680003,39.47494542,1213
0.0241881,-118.7677223,39.47494632,1211
0.024466124,-118.7674442,39.47494721,1209
0.024744148,-118.7671662,39.47494811,1209
0.025022172,-118.7668882,39.474949,1209
0.025300197,-118.7666102,39.4749499,1211
0.025578221,-118.7663321,39.4749508,1212
0.025856245,-118.7660541,39.47495169,1212
0.026134269,-118.7657761,39.47495259,1211
0.026412293,-118.7654981,39.47495348,1210
0.026690317,-118.7652201,39.47495438,1210
0.026968341,-118.764942,39.47495528,1211
0.027246366,-118.764664,39.47495617,1212
0.02752439,-118.764386,39.47495707,1212
0.027802414,-118.764108,39.47495796,1212
0.028080438,-118.7638299,39.47495886,1213
0.028358462,-118.7635519,39.47495975,1212
0.028636486,-118.7632739,39.47496065,1212
0.02891451,-118.7629959,39.47496155,1211
0.029192535,-118.7627179,39.47496244,1211
0.029470559,-118.7624398,39.47496334,1210
0.029748583,-118.7621618,39.47496423,1213
0.030026607,-118.7618838,39.47496513,1214
